Local time,Open,High,Low,Close,Volume
20.02.2018 00:04:48.000 GMT-0800,1.23571,1.23572,1.23571,1.23572,3.75
20.02.2018 00:04:49.000 GMT-0800,1.23571,1.23571,1.23571,1.23571,1.5
20.02.2018 00:04:50.000 GMT-0800,1.23572,1.23572,1.23571,1.23571,6
20.02.2018 00:04:51.000 GMT-0800,1.23572,1.23572,1.23550,1.23550,15.45
20.02.2018 00:04:52.000 GMT-0800,1.23550,1.23550,1.23550,1.23550,8.63
20.02.2018 00:04:53.000 GMT-0800,1.23551,1.23551,1.23550,1.23550,5.62
20.02.2018 00:04:54.000 GMT-0800,1.23552,1.23554,1.23552,1.23554,2.81
20.02.2018 00:04:55.000 GMT-0800,1.23555,1.23564,1.23555,1.23564,6.0600000000000005
20.02.2018 00:04:56.000 GMT-0800,1.23567,1.23568,1.23564,1.23565,12.81
20.02.2018 00:04:59.000 GMT-0800,1.23565,1.23565,1.23560,1.23560,7.760000000000001
20.02.2018 00:05:01.000 GMT-0800,1.23560,1.23561,1.23558,1.23558,5.07
20.02.2018 00:05:02.000 GMT-0800,1.23558,1.23558,1.23556,1.23556,7
20.02.2018 00:05:04.000 GMT-0800,1.23554,1.23554,1.23554,1.23554,5.25
20.02.2018 00:05:05.000 GMT-0800,1.23555,1.23555,1.23555,1.23555,9.37
20.02.2018 00:05:06.000 GMT-0800,1.23555,1.23555,1.23553,1.23553,2.5
20.02.2018 00:05:07.000 GMT-0800,1.23554,1.23554,1.23554,1.23554,1.87
20.02.2018 00:05:08.000 GMT-0800,1.23555,1.23555,1.23555,1.23555,1.87
20.02.2018 00:05:09.000 GMT-0800,1.23554,1.23554,1.23534,1.23534,73.24999999999999
20.02.2018 00:05:10.000 GMT-0800,1.23536,1.23541,1.23536,1.23541,21.520000000000003
20.02.2018 00:05:11.000 GMT-0800,1.23540,1.23540,1.23539,1.23539,2.87
20.02.2018 00:05:12.000 GMT-0800,1.23537,1.23537,1.23534,1.23534,9.06
20.02.2018 00:05:13.000 GMT-0800,1.23534,1.23535,1.23534,1.23535,4.8500000000000005
20.02.2018 00:05:14.000 GMT-0800,1.23535,1.23535,1.23535,1.23535,1.12
